epoch,score,loss
1,,0.29694671283016
2,,0.2944628290614
3,,0.28986646929413
4,,0.28371079705007
5,,0.27618718194399
6,,0.26755643028502
7,,0.25836128874944
8,,0.24866727083558
9,,0.23890442415568
10,,0.22935562249333
11,,0.22019232555949
12,,0.21147681046459
13,,0.20301912609465
14,,0.1950965555662
15,,0.18758729558292
16,,0.18044116431103
17,,0.17357510706334
18,,0.16705437565858
19,,0.16075872882641
20,,0.15475469687913
21,,0.14910161975448
22,,0.14380789385914
23,,0.13878187292006
24,,0.13403730101978
25,,0.12948747469568
26,,0.12507839466516
27,,0.12087155804225
28,,0.11681151299446
29,,0.11287784998211
30,,0.10909911723678
31,,0.1055325296956
32,,0.10212070741334
33,,0.099002335383883
34,,0.096111273510309
35,,0.093327317756639
36,,0.09062276620113
37,,0.0880053202219
38,,0.085458469973845
39,,0.082997422344041
40,,0.080609252260908
41,,0.078277551353517
42,,0.07603504637753
43,,0.073884908231404
44,,0.071826392113695
45,,0.069814668596107
46,,0.067861636695256
47,,0.065983044579673
48,,0.0641763141291
49,,0.062430499051722
50,,0.060736750936256
51,,0.059107696016097
52,,0.05756613006898
53,,0.056085119216074
54,,0.05465950512169
55,,0.053275829632595
56,,0.051933900542646
57,,0.050629698730986
58,,0.049360544934054
59,,0.048136196777718
60,,0.046953841434663
61,,0.045830601746691
62,,0.044743984523024
63,,0.043687196344749
64,,0.042662188856924
65,,0.041667961805285
66,,0.040700526909949
67,,0.039757264690218
68,,0.038843800046252
69,,0.037961627122514
70,,0.037114727839266
71,,0.036300808437575
72,,0.035510594930899
73,,0.034739154201967
74,,0.033984125726015
75,,0.033240703378473
76,,0.032519824252241
77,,0.031815788216375
78,,0.031129222523557
79,,0.030458894475582
80,,0.029803603918607
81,,0.029176811113825
82,,0.028569400225375
83,,0.027975022301951
84,,0.027396265185607
85,,0.026832527284415
86,,0.026283401294261
87,,0.025749394707338
88,,0.025233863955989
89,,0.024731905427707
90,,0.024243832397122
91,,0.023769008604041
92,,0.023307929962671
93,,0.022859125750139
94,,0.022422339587278
95,,0.022000663937306
96,,0.021592652077169
97,,0.021194426921002
98,,0.020805755429668
99,,0.020429214247331
100,,0.020063124940874
101,,0.019708937113859
102,,0.01936315969195
103,,0.019022876574091
104,,0.01869024623616
105,,0.018366217760487
106,,0.018049985096949
107,,0.017746285090261
108,,0.017449484964233
109,,0.017157498189955
110,,0.016871839589218
111,,0.016591789487851
112,,0.016317585133227
113,,0.016050554609529
114,,0.015790666750566
115,,0.015537997780629
116,,0.015291802452658
117,,0.015051647435393
118,,0.014818698746068
119,,0.014595133166823
120,,0.014375238191282
121,,0.014159351128594
122,,0.013948773929537
123,,0.013743112188963
124,,0.013542327156394
125,,0.013346381441502
126,,0.013155282075432
127,,0.012968394554746
128,,0.012785622125034
129,,0.012607029614283
130,,0.012432658596933
131,,0.012262092949323
132,,0.012093605136551
133,,0.011929409486862
134,,0.011768351839544
135,,0.01161110558037
136,,0.011457219495363
137,,0.011306464514735
138,,0.011158688114787
139,,0.011014125814681
140,,0.010872829397475
141,,0.010734366893873
142,,0.010599906056766
143,,0.010467877593957
144,,0.010338550118581
145,,0.010211991214838
146,,0.010088211195134
147,,0.0099670167529105
148,,0.009849657680327
149,,0.0097347872373551
150,,0.0096229779423079
151,,0.0095143707951903
152,,0.0094082621913091
153,,0.009304723140238
154,,0.0092036149875893
155,,0.0091048593799061
